algorithm,k,distance,count
Open syncmer (Edgar 2021),21,1,7585
Open syncmer (Edgar 2021),21,2,6376
Open syncmer (Edgar 2021),21,3,5541
Open syncmer (Edgar 2021),21,4,4775
Open syncmer (Edgar 2021),21,5,4097
Open syncmer (Edgar 2021),21,6,3712
Open syncmer (Edgar 2021),21,7,3187
Open syncmer (Edgar 2021),21,8,2986
Open syncmer (Edgar 2021),21,9,2540
Open syncmer (Edgar 2021),21,10,2351
Open syncmer (Edgar 2021),21,11,6359
Open syncmer (Edgar 2021),21,12,5351
Open syncmer (Edgar 2021),21,13,4774
Open syncmer (Edgar 2021),21,14,4062
Open syncmer (Edgar 2021),21,15,3530
Open syncmer (Edgar 2021),21,16,3077
Open syncmer (Edgar 2021),21,17,2874
Open syncmer (Edgar 2021),21,18,2476
Open syncmer (Edgar 2021),21,19,2279
Open syncmer (Edgar 2021),21,20,2008
Open syncmer (Edgar 2021),21,21,1874
Open syncmer (Edgar 2021),21,22,1493
Open syncmer (Edgar 2021),21,23,1300
Open syncmer (Edgar 2021),21,24,1076
Open syncmer (Edgar 2021),21,25,891
Open syncmer (Edgar 2021),21,26,730
Open syncmer (Edgar 2021),21,27,638
Open syncmer (Edgar 2021),21,28,488
Open syncmer (Edgar 2021),21,29,452
Open syncmer (Edgar 2021),21,30,364
Open syncmer (Edgar 2021),21,31,290
Open syncmer (Edgar 2021),21,32,254
Open syncmer (Edgar 2021),21,33,191
Open syncmer (Edgar 2021),21,34,164
Open syncmer (Edgar 2021),21,35,122
Open syncmer (Edgar 2021),21,36,92
Open syncmer (Edgar 2021),21,37,82
Open syncmer (Edgar 2021),21,38,63
Open syncmer (Edgar 2021),21,39,36
Open syncmer (Edgar 2021),21,40,44
Open syncmer (Edgar 2021),21,41,37
Open syncmer (Edgar 2021),21,42,24
Open syncmer (Edgar 2021),21,43,21
Open syncmer (Edgar 2021),21,44,19
Open syncmer (Edgar 2021),21,45,13
Open syncmer (Edgar 2021),21,46,13
Open syncmer (Edgar 2021),21,47,9
Open syncmer (Edgar 2021),21,48,8
Open syncmer (Edgar 2021),21,49,5
Open syncmer (Edgar 2021),21,50,3
Open syncmer (Edgar 2021),21,51,1
Open syncmer (Edgar 2021),21,52,1
Open syncmer (Edgar 2021),21,55,3
Open syncmer (Edgar 2021),21,56,1
Open syncmer (Edgar 2021),21,58,2
Open syncmer (Edgar 2021),21,67,1
Open syncmer (Edgar 2021),31,1,7497
Open syncmer (Edgar 2021),31,2,6347
Open syncmer (Edgar 2021),31,3,5518
Open syncmer (Edgar 2021),31,4,4749
Open syncmer (Edgar 2021),31,5,4207
Open syncmer (Edgar 2021),31,6,3679
Open syncmer (Edgar 2021),31,7,3294
Open syncmer (Edgar 2021),31,8,3014
Open syncmer (Edgar 2021),31,9,2597
Open syncmer (Edgar 2021),31,10,2383
Open syncmer (Edgar 2021),31,11,6375
Open syncmer (Edgar 2021),31,12,5300
Open syncmer (Edgar 2021),31,13,4803
Open syncmer (Edgar 2021),31,14,4118
Open syncmer (Edgar 2021),31,15,3703
Open syncmer (Edgar 2021),31,16,3236
Open syncmer (Edgar 2021),31,17,2799
Open syncmer (Edgar 2021),31,18,2526
Open syncmer (Edgar 2021),31,19,2293
Open syncmer (Edgar 2021),31,20,2032
Open syncmer (Edgar 2021),31,21,1747
Open syncmer (Edgar 2021),31,22,1489
Open syncmer (Edgar 2021),31,23,1300
Open syncmer (Edgar 2021),31,24,1069
Open syncmer (Edgar 2021),31,25,828
Open syncmer (Edgar 2021),31,26,755
Open syncmer (Edgar 2021),31,27,606
Open syncmer (Edgar 2021),31,28,483
Open syncmer (Edgar 2021),31,29,456
Open syncmer (Edgar 2021),31,30,336
Open syncmer (Edgar 2021),31,31,303
