algorithm,k,density,distance,count
Closed syncmer (Edgar 2021),21,0.16666133322666454,1,25568
Closed syncmer (Edgar 2021),21,0.16666133322666454,2,20177
Closed syncmer (Edgar 2021),21,0.16666133322666454,3,16147
Closed syncmer (Edgar 2021),21,0.16666133322666454,4,13293
Closed syncmer (Edgar 2021),21,0.16666133322666454,5,10727
Closed syncmer (Edgar 2021),21,0.16666133322666454,6,8893
Closed syncmer (Edgar 2021),21,0.16666133322666454,7,7525
Closed syncmer (Edgar 2021),21,0.16666133322666454,8,6384
Closed syncmer (Edgar 2021),21,0.16666133322666454,9,5495
Closed syncmer (Edgar 2021),21,0.16666133322666454,10,4682
Closed syncmer (Edgar 2021),21,0.16666133322666454,11,47766
Closed syncmer (Edgar 2021),31,0.166579997399922,1,25678
Closed syncmer (Edgar 2021),31,0.166579997399922,2,19930
Closed syncmer (Edgar 2021),31,0.166579997399922,3,16228
Closed syncmer (Edgar 2021),31,0.166579997399922,4,13110
Closed syncmer (Edgar 2021),31,0.166579997399922,5,10726
Closed syncmer (Edgar 2021),31,0.166579997399922,6,8929
Closed syncmer (Edgar 2021),31,0.166579997399922,7,7520
Closed syncmer (Edgar 2021),31,0.166579997399922,8,6514
Closed syncmer (Edgar 2021),31,0.166579997399922,9,5621
Closed syncmer (Edgar 2021),31,0.166579997399922,10,4747
Closed syncmer (Edgar 2021),31,0.166579997399922,11,47571
Closed syncmer (Edgar 2021),41,0.1668376735069403,1,25779
Closed syncmer (Edgar 2021),41,0.1668376735069403,2,20172
Closed syncmer (Edgar 2021),41,0.1668376735069403,3,16033
Closed syncmer (Edgar 2021),41,0.1668376735069403,4,13285
Closed syncmer (Edgar 2021),41,0.1668376735069403,5,10828
Closed syncmer (Edgar 2021),41,0.1668376735069403,6,8968
Closed syncmer (Edgar 2021),41,0.1668376735069403,7,7355
Closed syncmer (Edgar 2021),41,0.1668376735069403,8,6589
Closed syncmer (Edgar 2021),41,0.1668376735069403,9,5435
Closed syncmer (Edgar 2021),41,0.1668376735069403,10,4711
Closed syncmer (Edgar 2021),41,0.1668376735069403,11,47675
Closed syncmer (Edgar 2021),51,0.1664743237161858,1,25494
Closed syncmer (Edgar 2021),51,0.1664743237161858,2,20197
Closed syncmer (Edgar 2021),51,0.1664743237161858,3,16072
Closed syncmer (Edgar 2021),51,0.1664743237161858,4,13134
Closed syncmer (Edgar 2021),51,0.1664743237161858,5,10564
Closed syncmer (Edgar 2021),51,0.1664743237161858,6,9119
Closed syncmer (Edgar 2021),51,0.1664743237161858,7,7459
Closed syncmer (Edgar 2021),51,0.1664743237161858,8,6433
Closed syncmer (Edgar 2021),51,0.1664743237161858,9,5478
Closed syncmer (Edgar 2021),51,0.1664743237161858,10,4871
Closed syncmer (Edgar 2021),51,0.1664743237161858,11,47644
Closed syncmer (Edgar 2021),61,0.16644498669920196,1,25604
Closed syncmer (Edgar 2021),61,0.16644498669920196,2,20106
Closed syncmer (Edgar 2021),61,0.16644498669920196,3,15954
Closed syncmer (Edgar 2021),61,0.16644498669920196,4,12902
Closed syncmer (Edgar 2021),61,0.16644498669920196,5,10757
Closed syncmer (Edgar 2021),61,0.16644498669920196,6,9131
Closed syncmer (Edgar 2021),61,0.16644498669920196,7,7524
Closed syncmer (Edgar 2021),61,0.16644498669920196,8,6546
Closed syncmer (Edgar 2021),61,0.16644498669920196,9,5596
Closed syncmer (Edgar 2021),61,0.16644498669920196,10,4790
Closed syncmer (Edgar 2021),61,0.16644498669920196,11,47524
Optimal closed syncmer (ours),21,0.16666133322666454,1,25568
Optimal closed syncmer (ours),21,0.16666133322666454,2,20177
Optimal closed syncmer (ours),21,0.16666133322666454,3,16147
Optimal closed syncmer (ours),21,0.16666133322666454,4,13293
Optimal closed syncmer (ours),21,0.16666133322666454,5,10727
Optimal closed syncmer (ours),21,0.16666133322666454,6,8893
Optimal closed syncmer (ours),21,0.16666133322666454,7,7525
Optimal closed syncmer (ours),21,0.16666133322666454,8,6384
Optimal closed syncmer (ours),21,0.16666133322666454,9,5495
Optimal closed syncmer (ours),21,0.16666133322666454,10,4682
Optimal closed syncmer (ours),21,0.16666133322666454,11,47766
Optimal closed syncmer (ours),31,0.1303219096572897,1,10891
Optimal closed syncmer (ours),31,0.1303219096572897,2,9458
Optimal closed syncmer (ours),31,0.1303219096572897,3,8449
Optimal closed syncmer (ours),31,0.1303219096572897,4,7523
Optimal closed syncmer (ours),31,0.1303219096572897,5,6618
Optimal closed syncmer (ours),31,0.1303219096572897,6,5987
