algorithm,k,mut_rate,metric,value
Open syncmer (Edgar 2021),21,0.01,Conservation,0.818329
Open syncmer (Edgar 2021),21,0.01,L2,2.22
Open syncmer (Edgar 2021),21,0.05,Conservation,0.40352
Open syncmer (Edgar 2021),21,0.05,L2,7.399084335240409
Open syncmer (Edgar 2021),21,0.1,Conservation,0.151625
Open syncmer (Edgar 2021),21,0.1,L2,15.470952071543625
Open syncmer (Edgar 2021),21,0.15,Conservation,0.053391
Open syncmer (Edgar 2021),21,0.15,L2,28.934031243502865
Open syncmer (Edgar 2021),31,0.01,Conservation,0.83378
Open syncmer (Edgar 2021),31,0.01,L2,2.57939954252923
Open syncmer (Edgar 2021),31,0.05,Conservation,0.316548
Open syncmer (Edgar 2021),31,0.05,L2,11.296575410273682
Open syncmer (Edgar 2021),31,0.1,Conservation,0.075162
Open syncmer (Edgar 2021),31,0.1,L2,28.451649442519145
Open syncmer (Edgar 2021),31,0.15,Conservation,0.018586
Open syncmer (Edgar 2021),31,0.15,L2,66.42173141374741
Open syncmer (Edgar 2021),41,0.01,Conservation,0.817822
Open syncmer (Edgar 2021),41,0.01,L2,3.150379183526961
Open syncmer (Edgar 2021),41,0.05,Conservation,0.232574
Open syncmer (Edgar 2021),41,0.05,L2,16.695030847530653
Open syncmer (Edgar 2021),41,0.1,Conservation,0.033824
Open syncmer (Edgar 2021),41,0.1,L2,48.41227623237726
Open syncmer (Edgar 2021),41,0.15,Conservation,0.008609
Open syncmer (Edgar 2021),41,0.15,L2,154.08943300564124
Open syncmer (Edgar 2021),51,0.01,Conservation,0.79654
Open syncmer (Edgar 2021),51,0.01,L2,3.8944591408820814
Open syncmer (Edgar 2021),51,0.05,Conservation,0.167331
Open syncmer (Edgar 2021),51,0.05,L2,23.50534449864541
Open syncmer (Edgar 2021),51,0.1,Conservation,0.013764
Open syncmer (Edgar 2021),51,0.1,L2,85.93265802941278
Open syncmer (Edgar 2021),51,0.15,Conservation,0.006178
Open syncmer (Edgar 2021),51,0.15,L2,347.1774461885449
Open syncmer (Edgar 2021),61,0.01,Conservation,0.770865
Open syncmer (Edgar 2021),61,0.01,L2,4.7376536386696735
Open syncmer (Edgar 2021),61,0.05,Conservation,0.117159
Open syncmer (Edgar 2021),61,0.05,L2,32.69429188711693
Open syncmer (Edgar 2021),61,0.1,Conservation,0.006199
Open syncmer (Edgar 2021),61,0.1,L2,141.19145505305906
Open syncmer (Edgar 2021),61,0.15,Conservation,0.005896
Open syncmer (Edgar 2021),61,0.15,L2,577.6326441814036
Open syncmer (Shaw & Yu 2022),21,0.01,Conservation,0.872659
Open syncmer (Shaw & Yu 2022),21,0.01,L2,1.7413692888069434
Open syncmer (Shaw & Yu 2022),21,0.05,Conservation,0.455533
Open syncmer (Shaw & Yu 2022),21,0.05,L2,6.579107614258943
Open syncmer (Shaw & Yu 2022),21,0.1,Conservation,0.172029
Open syncmer (Shaw & Yu 2022),21,0.1,L2,14.10805957600123
Open syncmer (Shaw & Yu 2022),21,0.15,Conservation,0.058845
Open syncmer (Shaw & Yu 2022),21,0.15,L2,27.213641377074108
Open syncmer (Shaw & Yu 2022),31,0.01,Conservation,0.862673
Open syncmer (Shaw & Yu 2022),31,0.01,L2,2.1989333777993365
