algorithm,k,distance,count
Open syncmer (Edgar 2021),21,1,736
Open syncmer (Edgar 2021),21,2,667
Open syncmer (Edgar 2021),21,3,549
Open syncmer (Edgar 2021),21,4,472
Open syncmer (Edgar 2021),21,5,422
Open syncmer (Edgar 2021),21,6,351
Open syncmer (Edgar 2021),21,7,323
Open syncmer (Edgar 2021),21,8,276
Open syncmer (Edgar 2021),21,9,245
Open syncmer (Edgar 2021),21,10,245
Open syncmer (Edgar 2021),21,11,630
Open syncmer (Edgar 2021),21,12,520
Open syncmer (Edgar 2021),21,13,472
Open syncmer (Edgar 2021),21,14,369
Open syncmer (Edgar 2021),21,15,330
Open syncmer (Edgar 2021),21,16,331
Open syncmer (Edgar 2021),21,17,275
Open syncmer (Edgar 2021),21,18,254
Open syncmer (Edgar 2021),21,19,242
Open syncmer (Edgar 2021),21,20,223
Open syncmer (Edgar 2021),21,21,190
Open syncmer (Edgar 2021),21,22,157
Open syncmer (Edgar 2021),21,23,117
Open syncmer (Edgar 2021),21,24,107
Open syncmer (Edgar 2021),21,25,94
Open syncmer (Edgar 2021),21,26,69
Open syncmer (Edgar 2021),21,27,64
Open syncmer (Edgar 2021),21,28,48
Open syncmer (Edgar 2021),21,29,36
Open syncmer (Edgar 2021),21,30,37
Open syncmer (Edgar 2021),21,31,27
Open syncmer (Edgar 2021),21,32,31
Open syncmer (Edgar 2021),21,33,20
Open syncmer (Edgar 2021),21,34,22
Open syncmer (Edgar 2021),21,35,16
Open syncmer (Edgar 2021),21,36,8
Open syncmer (Edgar 2021),21,37,11
Open syncmer (Edgar 2021),21,38,13
Open syncmer (Edgar 2021),21,39,2
Open syncmer (Edgar 2021),21,40,5
Open syncmer (Edgar 2021),21,41,3
Open syncmer (Edgar 2021),21,42,3
Open syncmer (Edgar 2021),21,43,1
Open syncmer (Edgar 2021),21,44,3
Open syncmer (Edgar 2021),21,45,1
Open syncmer (Edgar 2021),21,46,1
Open syncmer (Edgar 2021),21,48,1
Open syncmer (Edgar 2021),21,49,2
Open syncmer (Edgar 2021),31,1,751
Open syncmer (Edgar 2021),31,2,602
Open syncmer (Edgar 2021),31,3,537
Open syncmer (Edgar 2021),31,4,488
Open syncmer (Edgar 2021),31,5,414
Open syncmer (Edgar 2021),31,6,372
Open syncmer (Edgar 2021),31,7,338
Open syncmer (Edgar 2021),31,8,287
Open syncmer (Edgar 2021),31,9,219
Open syncmer (Edgar 2021),31,10,258
Open syncmer (Edgar 2021),31,11,640
Open syncmer (Edgar 2021),31,12,545
Open syncmer (Edgar 2021),31,13,457
Open syncmer (Edgar 2021),31,14,414
Open syncmer (Edgar 2021),31,15,364
Open syncmer (Edgar 2021),31,16,329
Open syncmer (Edgar 2021),31,17,236
Open syncmer (Edgar 2021),31,18,234
Open syncmer (Edgar 2021),31,19,217
Open syncmer (Edgar 2021),31,20,229
Open syncmer (Edgar 2021),31,21,178
Open syncmer (Edgar 2021),31,22,158
Open syncmer (Edgar 2021),31,23,123
Open syncmer (Edgar 2021),31,24,107
Open syncmer (Edgar 2021),31,25,76
Open syncmer (Edgar 2021),31,26,84
Open syncmer (Edgar 2021),31,27,69
Open syncmer (Edgar 2021),31,28,60
Open syncmer (Edgar 2021),31,29,52
Open syncmer (Edgar 2021),31,30,31
Open syncmer (Edgar 2021),31,31,24
Open syncmer (Edgar 2021),31,32,29
Open syncmer (Edgar 2021),31,33,25
Open syncmer (Edgar 2021),31,34,14
Open syncmer (Edgar 2021),31,35,17
Open syncmer (Edgar 2021),31,36,6
Open syncmer (Edgar 2021),31,37,11
Open syncmer (Edgar 2021),31,38,4
Open syncmer (Edgar 2021),31,39,4
Open syncmer (Edgar 2021),31,40,6
Open syncmer (Edgar 2021),31,41,2
Open syncmer (Edgar 2021),31,42,2
Open syncmer (Edgar 2021),31,43,1
Open syncmer (Edgar 2021),31,44,1
Open syncmer (Edgar 2021),31,45,1
Open syncmer (Edgar 2021),31,46,3
Open syncmer (Edgar 2021),31,51,1
Open syncmer (Edgar 2021),31,54,1
Open syncmer (Edgar 2021),41,1,806
Open syncmer (Edgar 2021),41,2,638
Open syncmer (Edgar 2021),41,3,556
Open syncmer (Edgar 2021),41,4,433
Open syncmer (Edgar 2021),41,5,432
Open syncmer (Edgar 2021),41,6,370
Open syncmer (Edgar 2021),41,7,311
Open syncmer (Edgar 2021),41,8,289
Open syncmer (Edgar 2021),41,9,256
Open syncmer (Edgar 2021),41,10,228
Open syncmer (Edgar 2021),41,11,632
Open syncmer (Edgar 2021),41,12,576
Open syncmer (Edgar 2021),41,13,485
Open syncmer (Edgar 2021),41,14,448
Open syncmer (Edgar 2021),41,15,339
Open syncmer (Edgar 2021),41,16,296
Open syncmer (Edgar 2021),41,17,288
Open syncmer (Edgar 2021),41,18,229
Open syncmer (Edgar 2021),41,19,266
Open syncmer (Edgar 2021),41,20,200
Open syncmer (Edgar 2021),41,21,185
Open syncmer (Edgar 2021),41,22,156
Open syncmer (Edgar 2021),41,23,116
Open syncmer (Edgar 2021),41,24,89
Open syncmer (Edgar 2021),41,25,104
Open syncmer (Edgar 2021),41,26,80
Open syncmer (Edgar 2021),41,27,49
Open syncmer (Edgar 2021),41,28,53
Open syncmer (Edgar 2021),41,29,35
Open syncmer (Edgar 2021),41,30,31
Open syncmer (Edgar 2021),41,31,29
Open syncmer (Edgar 2021),41,32,28
Open syncmer (Edgar 2021),41,33,21
Open syncmer (Edgar 2021),41,34,18
Open syncmer (Edgar 2021),41,35,14
Open syncmer (Edgar 2021),41,36,7
Open syncmer (Edgar 2021),41,37,5
Open syncmer (Edgar 2021),41,38,7
Open syncmer (Edgar 2021),41,39,4
Open syncmer (Edgar 2021),41,40,5
Open syncmer (Edgar 2021),41,41,2
Open syncmer (Edgar 2021),41,42,2
Open syncmer (Edgar 2021),41,44,1
Open syncmer (Edgar 2021),41,45,1
Open syncmer (Edgar 2021),41,49,1
Open syncmer (Edgar 2021),41,50,1
Open syncmer (Edgar 2021),41,52,1
Open syncmer (Edgar 2021),41,53,1
